ID_PRATO;NOME_PRODUCAO;RENDIMENTO_PREVISTO ;UNIDADE 
7867;PRODUCAO 1 KG - ALIOLI;0,320;KG
1475;PRODUCAO 1 KG - ARROZ;1,000;KG
7864;PRODUCAO 1 KG - BATATA PALHA;0,230;KG
6842;PRODUCAO 1 KG - BORRA DE LEITE;0,550;KG
6737;PRODUCAO 1 KG - CREME DE ESPECIARIAS VEGANO;0,190;KG
7855;PRODUCAO 1 KG - CROQUETE DE CARNE DO SOL COM BANANA DA TERRA;0,490;KG
7870;PRODUCAO 1 KG - CROSTA DE AMENDOAS;0,130;KG
6758;PRODUCAO 1 KG - CURD DE LIMAO;1,000;KG
7866;PRODUCAO 1 KG - ENHOQUE DE MANDIOQUNHA;4,620;KG
6738;PRODUCAO 1 KG - GEL DE MORANGO ( WEEK );1,640;KG
2792;PRODUCAO 1 KG - GELEIA FRUTAS VERMELHAS;2,000;KG
6954;PRODUCAO 1 KG - GUIOSA RECHEIO HARRY HOUR;1,750;KG
7853;PRODUCAO 1 KG - LEITE DE TIGRE;0,350;KG
6350;PRODUCAO 1 KG - MAIONESE DE LEITE;1,000;KG
6349;PRODUCAO 1 KG - MAIONESE DE MANJERICAO E PIMENTA DE CHEIRO;1,000;KG
6794;PRODUCAO 1 KG - MAIONESE DE MARACUJA;0,580;KG
7859;PRODUCAO 1 KG - MOLHO BRIE;1,500;KG
7862;PRODUCAO 1 KG - MOLHO FUNGHI;1,910;KG
7872;PRODUCAO 1 KG - MOLHO HOLANDESE;0,170;KG
6867;PRODUCAO 1 KG - PETIFOUR PAO DE MEL;1,100;KG
7889;PRODUCAO 1 KG - POLPETONE DE CARNE;0,130;KG
7890;PRODUCAO 1 KG - POLPETONE DE SALMAO;0,130;KG
7857;PRODUCAO 1 KG - RECHEIO PARA TROUXINHA DE SALMAO;0,730;KG
4002;PRODUCAO 1 KG - REDUÇAO DE CAJUINA;1,000;KG
1773;PRODUCAO 1 KG - RISOTO DE LIMAO SICILIANO;1,000;KG
6807;PRODUCAO 1 KG - TARTAR DE ATUM ( WEEK );1,170;KG
7861;PRODUCAO 1 KG - VINAGRETE E PIMENTOES COLORIDOS;0,220;KG
