ID_PRODUTO ;ID_PRATO ;INGREDIENTES ;QUANTIDADES;UNIDADE;CUSTO_UNITARIO 
376;1364;COUSCOUS DE SEMOLA MARROQUINA;0,500;KG; 29,06 
3784;1364;PRODUCAO 1KG - MANTEIGA NOISET;0,100;KG; 48,40 
3998;1364;PRODUCAO 1KG - MIX DE CASTANHA;0,300;KG; 116,90 
245;1453;MOSTARDA DIJON;0,040;KG; 89,94 
375;1453;SAL REFINADO;0,003;KG; 0,95 
403;1453;AZEITE TRUFADO;0,010;KG; 242,98 
470;1453;PIMENTA DO REINO EM PO;0,003;KG; 22,00 
1454;1453;PRODUCAO 1KG - IOGURTE GREGO CASEIRO;0,260;KG; 32,58 
239;1454;LEITE INTEGRAL;3,570;KG; 5,28 
439;1454;IOGURTE GREGO INDUSTRIALIZADO;0,320;KG; 42,75 
264;1472;TOMATE CAJA;15,000;KG; 13,99 
268;1472;CEBOLA PERA;1,800;KG; 7,99 
273;1472;ALHO PORRO;1,200;KG; 29,59 
285;1472;CENOURA;1,800;KG; 10,90 
299;1472;MANJERICAO;0,300;KG; 15,00 
303;1472;SALSAO;0,500;KG; 12,00 
364;1472;ACUCAR CRISTAL (GRANULADO);0,050;KG; 3,08 
368;1472;TOMATE PELADO EM CONSERVA;5,000;KG; 13,96 
375;1472;SAL REFINADO;0,040;KG; 0,95 
406;1472;AZEITE DE OLIVA EXTRA VIRGEM (COZINHA);0,250;KG; 16,95 
6714;1472;PRODUCAO 1KG - PASTA DE ALHO;0,090;KG; 29,64 
375;1475;SAL REFINADO;0,030;KG; 0,95 
395;1475;ARROZ BRANCO;0,400;KG; 3,89 
406;1475;AZEITE DE OLIVA EXTRA VIRGEM (COZINHA);0,100;KG; 16,95 
6714;1475;PRODUCAO 1KG - PASTA DE ALHO;0,020;KG; 29,64 
264;1477;TOMATE CAJA;2,080;KG; 13,99 
268;1477;CEBOLA PERA;0,870;KG; 7,99 
304;1477;COENTRO;0,040;KG; 22,00 
375;1477;SAL REFINADO;0,010;KG; 0,95 
470;1477;PIMENTA DO REINO EM PO;0,003;KG; 22,00 
